Timestamp	R_0	C_0
6.576439	8.99992e+04	1.08567e-10
6.609352	8.99992e+04	1.08567e-10
6.656226	8.99745e+04	1.08523e-10
6.759949	8.99992e+04	1.08567e-10
6.759949	8.99992e+04	1.08567e-10
6.80084	8.99992e+04	1.08567e-10
6.8158	8.99992e+04	1.08567e-10
6.863672	8.99992e+04	1.08567e-10
6.895589	8.99992e+04	1.08567e-10
6.944458	8.99745e+04	1.08523e-10
6.976371	8.99992e+04	1.08567e-10
7.024243	8.99992e+04	1.08567e-10
7.079098	9.00558e+04	1.08548e-10
7.125971	8.99992e+04	1.08567e-10
7.165867	8.99992e+04	1.08567e-10
7.226704	8.99745e+04	1.08523e-10
7.23169	8.99992e+04	1.08567e-10
7.263605	8.99992e+04	1.08567e-10
7.312474	8.99992e+04	1.08567e-10
7.360347	8.99992e+04	1.08567e-10
7.393258	8.99992e+04	1.08567e-10
7.440133	8.99992e+04	1.08567e-10
7.472047	8.99992e+04	1.08567e-10
7.551835	8.99992e+04	1.08567e-10
7.586741	8.99745e+04	1.08523e-10
7.599707	8.99992e+04	1.08567e-10
7.64758	8.99992e+04	1.08567e-10
7.680491	8.99745e+04	1.08523e-10
7.728363	8.99992e+04	1.08567e-10
7.761275	8.99745e+04	1.08523e-10
7.80815	8.99992e+04	1.08567e-10
7.841062	8.99745e+04	1.08523e-10
7.891927	8.99745e+04	1.08523e-10
7.963735	8.99745e+04	1.08523e-10
7.984679	8.99992e+04	1.08567e-10
8.030557	8.99745e+04	1.08523e-10
8.047511	8.99745e+04	1.08523e-10
8.096381	8.99745e+04	1.08523e-10
8.128295	8.99992e+04	1.08567e-10
8.176168	8.99992e+04	1.08567e-10
8.224039	8.99745e+04	1.08523e-10
8.256952	8.99992e+04	1.08567e-10
8.393586	8.99745e+04	1.08523e-10
8.419517	9.00558e+04	1.08548e-10
8.419517	8.99992e+04	1.08567e-10
8.419517	8.99992e+04	1.08567e-10
8.464397	8.99745e+04	1.08523e-10
8.512269	8.99992e+04	1.08567e-10
8.544185	8.99745e+04	1.08523e-10
8.600036	8.99992e+04	1.08567e-10
8.623973	8.99992e+04	1.08567e-10
8.671844	8.99745e+04	1.08523e-10
8.703758	8.99992e+04	1.08567e-10
8.813465	8.99745e+04	1.08523e-10
8.822441	8.99992e+04	1.08567e-10
8.85735	8.99992e+04	1.08567e-10
8.885274	8.99992e+04	1.08567e-10
8.912202	8.99992e+04	1.08567e-10
8.960073	8.99992e+04	1.08567e-10
8.99199	8.99992e+04	1.08567e-10
9.039862	8.99992e+04	1.08567e-10
9.087736	8.99745e+04	1.08523e-10
9.121644	8.99992e+04	1.08567e-10
9.223371	8.99992e+04	1.08567e-10
9.244314	8.99992e+04	1.08567e-10
9.248305	8.99992e+04	1.08567e-10
9.28022	8.99992e+04	1.08567e-10
9.328093	8.99745e+04	1.08523e-10
9.375965	8.99745e+04	1.08523e-10
9.407877	8.99745e+04	1.08523e-10
9.455751	8.99745e+04	1.08523e-10
9.48966	8.99745e+04	1.08523e-10
9.600365	8.99745e+04	1.08523e-10
9.600365	8.99745e+04	1.08523e-10
9.618316	8.99745e+04	1.08523e-10
9.664193	8.99745e+04	1.08523e-10
9.696109	8.99992e+04	1.08567e-10
9.743982	8.99992e+04	1.08567e-10
9.775896	8.99992e+04	1.08567e-10
9.919511	8.99992e+04	1.08567e-10
9.919511	8.99992e+04	1.08567e-10
9.919511	8.99992e+04	1.08567e-10
9.952425	8.99745e+04	1.08523e-10
9.984339	8.99745e+04	1.08523e-10
10.032212	8.99745e+04	1.08523e-10
10.064127	8.99745e+04	1.08523e-10
10.127956	8.99992e+04	1.08567e-10
10.173833	9.00558e+04	1.08548e-10
10.224696	8.99992e+04	1.08567e-10
10.240654	8.99745e+04	1.08523e-10
10.271573	8.99745e+04	1.08523e-10
