Timestamp	I_0	Q_0
8.015674	1458	-2229
8.063548	1458	-2229
8.104438	1459	-2229
8.151311	1458	-2229
8.248053	1459	-2229
8.261019	1458	-2229
8.297921	1459	-2229
8.334822	1458	-2229
8.351776	1458	-2229
8.383692	1458	-2229
8.431563	1458	-2229
8.479434	1458	-2229
8.512348	1459	-2229
8.560221	1458	-2229
8.608092	1458	-2229
8.640006	1458	-2229
8.672918	1458	-2229
8.719793	1458	-2229
8.767667	1458	-2229
8.80058	1458	-2229
8.899314	1458	-2229
8.932227	1459	-2230
8.936216	1458	-2230
9.010019	1458	-2229
9.010019	1458	-2229
9.056893	1458	-2229
9.088808	1459	-2229
9.135684	1458	-2229
9.17458	1458	-2229
9.215469	1458	-2229
9.248382	1458	-2229
9.296254	1458	-2229
9.328169	1459	-2229
9.379033	1459	-2229
9.490736	1458	-2229
9.505695	1458	-2229
9.551574	1458	-2229
9.551574	1458	-2229
9.586482	1458	-2229
9.616399	1459	-2229
9.664272	1458	-2229
9.712143	1459	-2229
9.744059	1458	-2229
9.79193	1458	-2229
9.826839	1459	-2229
9.87172	1458	-2229
9.903635	1458	-2229
9.951505	1459	-2230
9.999378	1458	-2229
10.073316	1458	-2229
10.086282	1458	-2229
10.123184	1458	-2229
10.209951	1458	-2229
10.223913	1459	-2229
10.240868	1459	-2229
10.287744	1458	-2229
10.319657	1459	-2229
10.367531	1458	-2229
10.400441	1458	-2229
10.447273	1459	-2229
10.480185	1458	-2229
10.529054	1458	-2229
10.582909	1458	-2229
10.611832	1459	-2229
10.674664	1458	-2229
10.708574	1458	-2229
10.772405	1458	-2229
10.782376	1459	-2229
10.816286	1458	-2229
10.864157	1458	-2229
10.896073	1458	-2229
10.943946	1458	-2229
10.975859	1459	-2229
11.02473	1458	-2229
11.055646	1459	-2229
11.104516	1458	-2229
11.15139	1458	-2229
11.184303	1458	-2229
11.232175	1459	-2229
11.26409	1459	-2229
11.340097	1459	-2229
11.346081	1458	-2229
11.431852	1458	-2229
11.446838	1458	-2229
11.489696	1458	-2229
11.529589	1459	-2229
11.551532	1459	-2229
11.599408	1458	-2229
11.632321	1458	-2229
11.681191	1458	-2229
11.728067	1458	-2229
11.775939	1459	-2229
11.808068	1458	-2229
11.839983	1459	-2229
11.887853	1458	-2229
11.936723	1458	-2230
11.968639	1458	-2229
12.072362	1458	-2229
12.072362	1458	-2229
12.141176	1458	-2229
12.150155	1459	-2229
12.176084	1458	-2229
12.207999	1458	-2229
12.255897	1459	-2229
12.30377	1458	-2229
12.335686	1458	-2229
12.383557	1458	-2229
12.425445	1459	-2229
12.496255	1458	-2229
12.527171	1458	-2229
12.579509	1459	-2229
12.605487	1458	-2229
12.638398	1459	-2229
12.67131	1458	-2229
12.704222	1458	-2229
12.752094	1458	-2229
12.784009	1459	-2229
12.831881	1459	-2229
12.879754	1459	-2229
12.911668	1459	-2229
12.959543	1459	-2229
12.991457	1458	-2229
13.039329	1458	-2229
13.071243	1458	-2229
13.16196	1458	-2229
13.170926	1459	-2229
13.232761	1458	-2229
13.247726	1459	-2229
13.280635	1458	-2229
13.327509	1458	-2230
13.360422	1459	-2229
13.407298	1458	-2229
13.456165	1458	-2229
13.497058	1458	-2229
13.614742	1458	-2229
13.617733	1458	-2229
13.618731	1458	-2229
13.66062	1458	-2229
13.695527	1459	-2229
13.727441	1459	-2229
13.775314	1459	-2229
13.824182	1458	-2229
13.864075	1459	-2229
13.90397	1458	-2229
13.935883	1458	-2230
13.992733	1459	-2229
14.015671	1459	-2229
14.108423	1458	-2229
14.165271	1458	-2229
14.166268	1458	-2230
14.1922	1458	-2229
14.224114	1458	-2229
14.282958	1459	-2229
14.3039	1459	-2230
14.351775	1458	-2230
14.399646	1459	-2229
14.453501	1458	-2229
14.508356	1458	-2229
14.575177	1458	-2229
14.576175	1459	-2229
14.592131	1458	-2229
14.640004	1459	-2229
14.687874	1459	-2229
14.720789	1459	-2229
14.77664	1459	-2229
14.799578	1459	-2229
14.847451	1458	-2229
14.879365	1459	-2229
14.927237	1458	-2229
15.036943	1458	-2229
15.036943	1458	-2229
15.074844	1459	-2229
15.087806	1458	-2229
15.13568	1459	-2229
15.167595	1459	-2229
15.215467	1459	-2229
15.26334	1458	-2229
15.296251	1458	-2229
15.346118	1459	-2229
15.427898	1458	-2229
15.485746	1459	-2229
15.485746	1458	-2229
15.503697	1458	-2229
15.551569	1458	-2229
15.583484	1459	-2229
15.631355	1458	-2229
15.664269	1459	-2229
15.711144	1458	-2229
15.744056	1458	-2228
15.791927	1459	-2229
